,industry,function,usecase,paragraph_id,sentence,usecase_indication
518,traditional industries,data assets and analytics,high returns are largely driven by only a few successful organizations . early adopters are posting faster growth in operating profits,518,smartphones globally ,0.9230138
101,retail1,us retail,us retail,101,smartphones globally ,0.9230138
1542,"information and communications technology ( ict ) , professional services , and health care and social assistance",information and communications technology ( ict,to calculate demand for data scientists to 2024,1542, predictive modeling ,0.922594
477,"europe : pushing the frontier , capturing the benefits","pushing the frontier , capturing the benefits",pushing the frontier,477, list of world’s supercomputers june available at shazam salesforce com cortexica use gpus for affordable scalable growth in consumer and commercial ,0.92177397
1035,data,data,data,1035,global reduction in national health expenditures ,0.92101896
633,firms in other industries have struggled to move on from legacy systems that trap data in silos,analytics,"a company ’ s it infrastructure is the backbone through which it can access its data , integrate new data , and perform relevant analyses",633,organi zational structure and processes ,0.9203682
533,"grocery sector has led the way , while smaller retailers specializing in clothing , furnishings , and accessories",real - time information,creating an end - to - end view of their entire value chain,533,source expert interviews mckinsey global institute analysis ,0.9187268
116,agencies,agencies,agencies,116,source expert interviews mckinsey global institute analysis ,0.9187268
1123,kenya power,smart meters,cut costs,1123, human longevity inc announces year deal with astrazeneca to sequence and analyze patient samples ,0.9172814
562,diagnosis,machine learning to assist in diagnosis and clinical decision making,integrating data and analytics,562,potential value captured by the eu public sector ,0.9161186
1059,marketing,automate business support,automate business support functions optimize marketing mix,1059,bank website data ,0.9148929
281,rec,neural network,recurrent neural network,281,linear and non linear optimization ,0.9143878
1263,finance,finance,evaluate customer credit risk more accurately,1263,linear and non linear optimization ,0.9143878
950,continuous monitoring and personalized treatment of patients,personalized treatment of patients at best place and time for intervention,continuous monitoring and personalized treatment of patients at best place and time for intervention,950,matching complexity ,0.9143637
1549,developed and developing regions,"economic impact for each lever , we estimated the value pool at stake for developed and developing regions",to size the economic impact,1549, public health surveillance ,0.91397774
833,real,digital platforms,finding,833,accuracy of prediction ,0.91366315
212,multiple,what kind of application ? [SEP],what is main idea ? [SEP],212,accuracy of prediction ,0.91366315
664,numbers may not sum due to rounding .,numbers may not sum due to rounding,numbers may not sum due to rounding,664, catherine shu google acquires artificial intelligence startup deepmind for more than million ,0.9128776
1134,to err is human : building a safer health,building a safer health,building a safer health,1134,smart cities ,0.912776
1361,mc,analysis,analysis,1361,capabilities for which deep learning is well suited ,0.9120733
1504,after - sales,after - sales,after - sales,1504,supply chain ,0.91186404
317,12,machine learning,extraordinary breadth of the potential applications of machine learning,317,trained on a set of artist’s paintings generate a new painting in the same style ,0.9118172
1226,deep learning,deep learning,the coming wave,1226,trained on a set of artist’s paintings generate a new painting in the same style ,0.9118172
892,exhibit,exhibit,exhibit,892,reduced parking cost ,0.9111663
981,precision health care,precision health care,better health outcomes,981,patients progress along a standardized disease treatment pathway ,0.910982
1176,writing and text,generate writing and text,generate writing and text generate audio,1176,errors journal of health care finance volume number fall ,0.91015786
1942,mobile data and other relevant data,mobile,discover new trends in consumer behavior,1942,radical personalization ,0.9100962
1647,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],1647,radical personalization ,0.9100962
1710,manufacturing,manufacturing,identify root causes for low product yield,1710,radical personalization ,0.9100962
1952,labor,optimize field - force labor allocation,optimize field - force labor allocation,1952,radical personalization ,0.9100962
219,mc,analysis,analysis,219,radical personalization ,0.9100962
1854,animal testing,"predict outcomes from fewer or diverse ( e . g . , animal testing ) experiments to reduce experimental r & d costs and time to market","predict outcomes from fewer or diverse ( e . g . , animal testing ) experiments to reduce experimental r & d costs and time to market",1854,radical personalization ,0.9100962
